id	family	kind	rel_path	route	target	mode	status	reason	source_patch	effective_patch	dest_path
1409	user32-rawinput-mouse	tkg-patches	user32-rawinput-mouse/0002-winex11-Clear-the-MOUSEEVENTF_MOVE-flag-when-accumul.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0002-winex11-Clear-the-MOUSEEVENTF_MOVE-flag-when-accumul.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0002-winex11-Clear-the-MOUSEEVENTF_MOVE-flag-when-accumul.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1409-0002-winex11-Clear-the-MOUSEEVENTF_MOVE-flag-when-accumul.patch
1410	user32-rawinput-mouse	tkg-patches	user32-rawinput-mouse/0003-winex11-Add-support-for-absolute-position-in-RawMoti.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0003-winex11-Add-support-for-absolute-position-in-RawMoti.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0003-winex11-Add-support-for-absolute-position-in-RawMoti.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1410-0003-winex11-Add-support-for-absolute-position-in-RawMoti.patch
1415	user32-recursive-activation	tkg-patches	user32-recursive-activation/0001-user32-focus-Prevent-a-recursive-loop-with-the-activ.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-recursive-activation/0001-user32-focus-Prevent-a-recursive-loop-with-the-activ.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-recursive-activation/0001-user32-focus-Prevent-a-recursive-loop-with-the-activ.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1415-0001-user32-focus-Prevent-a-recursive-loop-with-the-activ.patch
1424	version-VerQueryValue	tkg-patches	version-VerQueryValue/0001-version-Test-for-VerQueryValueA-try-2.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/version-VerQueryValue/0001-version-Test-for-VerQueryValueA-try-2.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/version-VerQueryValue/0001-version-Test-for-VerQueryValueA-try-2.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1424-0001-version-Test-for-VerQueryValueA-try-2.patch
1425	vkd3d-latest	tkg-patches	vkd3d-latest/0001-Updated-vkd3d-to-5c355b5963ef7a51eb152a8f1544542bf5b.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/vkd3d-latest/0001-Updated-vkd3d-to-5c355b5963ef7a51eb152a8f1544542bf5b.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/vkd3d-latest/0001-Updated-vkd3d-to-5c355b5963ef7a51eb152a8f1544542bf5b.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1425-0001-Updated-vkd3d-to-5c355b5963ef7a51eb152a8f1544542bf5b.patch
1428	vkd3d-latest	tkg-patches	vkd3d-latest/0004-Updated-vkd3d.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/vkd3d-latest/0004-Updated-vkd3d.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/vkd3d-latest/0004-Updated-vkd3d.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1428-0004-Updated-vkd3d.patch
1436	windowscodecs-TIFF_Support	tkg-patches	windowscodecs-TIFF_Support/0015-windowscodecs-Tolerate-partial-reads-in-the-IFD-meta.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/windowscodecs-TIFF_Support/0015-windowscodecs-Tolerate-partial-reads-in-the-IFD-meta.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/windowscodecs-TIFF_Support/0015-windowscodecs-Tolerate-partial-reads-in-the-IFD-meta.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1436-0015-windowscodecs-Tolerate-partial-reads-in-the-IFD-meta.patch
1457	wined3d-zero-inf-shaders	tkg-patches	wined3d-zero-inf-shaders/0001-wined3d-Add-a-setting-to-workaround-0-inf-problem-in.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-zero-inf-shaders/0001-wined3d-Add-a-setting-to-workaround-0-inf-problem-in.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-zero-inf-shaders/0001-wined3d-Add-a-setting-to-workaround-0-inf-problem-in.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1457-0001-wined3d-Add-a-setting-to-workaround-0-inf-problem-in.patch
1463	winemac.drv-no-flicker-patch	tkg-patches	winemac.drv-no-flicker-patch/0001-winemac.drv-No-Flicker-patch.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winemac.drv-no-flicker-patch/0001-winemac.drv-No-Flicker-patch.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winemac.drv-no-flicker-patch/0001-winemac.drv-No-Flicker-patch.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1463-0001-winemac.drv-No-Flicker-patch.patch
1477	winex11-Window_Style	tkg-patches	winex11-Window_Style/0001-winex11-Fix-handling-of-window-attributes-for-WS_EX_.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Window_Style/0001-winex11-Fix-handling-of-window-attributes-for-WS_EX_.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Window_Style/0001-winex11-Fix-handling-of-window-attributes-for-WS_EX_.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1477-0001-winex11-Fix-handling-of-window-attributes-for-WS_EX_.patch
1478	winex11-ime-check-thread-data	tkg-patches	winex11-ime-check-thread-data/0001-winex11.drv-handle-missing-thread-data-in-X11DRV_get_ic.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-ime-check-thread-data/0001-winex11.drv-handle-missing-thread-data-in-X11DRV_get_ic.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-ime-check-thread-data/0001-winex11.drv-handle-missing-thread-data-in-X11DRV_get_ic.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1478-0001-winex11.drv-handle-missing-thread-data-in-X11DRV_get_ic.patch
1486	winmm-mciSendCommandA	tkg-patches	winmm-mciSendCommandA/0001-winmm-Do-not-crash-in-Win-9X-mode-when-an-invalid-de.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winmm-mciSendCommandA/0001-winmm-Do-not-crash-in-Win-9X-mode-when-an-invalid-de.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winmm-mciSendCommandA/0001-winmm-Do-not-crash-in-Win-9X-mode-when-an-invalid-de.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1486-0001-winmm-Do-not-crash-in-Win-9X-mode-when-an-invalid-de.patch
1487	wintab32-improvements	tkg-patches	wintab32-improvements/0002-wintab32-Set-lcSysExtX-Y-for-the-first-index-of-WTI_.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wintab32-improvements/0002-wintab32-Set-lcSysExtX-Y-for-the-first-index-of-WTI_.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wintab32-improvements/0002-wintab32-Set-lcSysExtX-Y-for-the-first-index-of-WTI_.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1487-0002-wintab32-Set-lcSysExtX-Y-for-the-first-index-of-WTI_.patch
